	full_name	abbreviation	ELO	Wins	Losses	Win Streak	Lose Streak
0	Atlanta Hawks	ATL	-1657.18	25	59	0	1
1	Boston Celtics	BOS	1410.1399999999999	56	28	1	0
2	Cleveland Cavaliers	CLE	1021.25	51	33	0	1
3	New Orleans Pelicans	NOP	808.93	49	35	5	0
4	Chicago Bulls	CHI	-1362.1799999999996	28	56	0	4
5	Dallas Mavericks	DAL	-1774.6799999999996	25	59	0	4
6	Denver Nuggets	DEN	578.3299999999998	47	37	0	1
7	Golden State Warriors	GSW	1914.3699999999988	59	25	0	1
8	Houston Rockets	HOU	2659.060000000001	66	18	0	1
9	Los Angeles Clippers	LAC	227.94	43	41	0	4
10	Los Angeles Lakers	LAL	-693.5200000000003	36	48	1	0
11	Miami Heat	MIA	362.22999999999985	45	39	1	0
12	Milwaukee Bucks	MIL	298.0100000000001	45	39	0	1
13	Minnesota Timberwolves	MIN	474.30999999999983	48	36	3	0
14	Brooklyn Nets	BKN	-1609.3	29	55	0	1
15	New York Knicks	NYK	-1563.1200000000003	30	54	1	0
16	Orlando Magic	ORL	-1968.4300000000003	26	58	1	0
17	Indiana Pacers	IND	830.52	49	35	0	1
18	Philadelphia 76ers	PHI	1301.18	53	31	16	0
19	Phoenix Suns	PHX	-2406.4700000000007	22	62	1	0
20	Portland Trail Blazers	POR	894.9499999999999	50	34	1	0
21	Sacramento Kings	SAC	-1458.0800000000004	28	56	1	0
22	San Antonio Spurs	SAS	658.5899999999997	48	36	0	1
23	Oklahoma City Thunder	OKC	922.1899999999999	49	35	3	0
24	Toronto Raptors	TOR	2013.59	60	24	0	1
25	Utah Jazz	UTA	1071.7100000000005	49	35	0	1
26	Memphis Grizzlies	MEM	-2204.8299999999995	23	61	0	2
27	Washington Wizards	WAS	166.1800000000001	44	40	0	1
28	Detroit Pistons	DET	-415.67999999999995	40	44	1	0
29	Charlotte Hornets	CHA	-513.95	37	47	1	0
