	GAME_ID	MATCHUP	WL	LEFT_ELO	RIGHT_ELO
2459	0021600003	GSW vs. SAS	L	245.0	335.0
2458	0021600001	NYK @ CLE	L	-165.0	235.0
2456	0021600002	UTA @ POR	L	-85.0	105.0
2453	0021600013	HOU @ LAL	L	-75.0	-165.0
2452	0021600004	ORL vs. MIA	L	-135.0	145.0
2450	0021600010	NOP vs. DEN	L	-185.0	-5.0
2449	0021600007	DET @ TOR	L	-45.0	225.0
2447	0021600012	PHX vs. SAC	L	-255.0	-5.0
2446	0021600008	CHA @ MIL	W	145.0	-155.0
2445	0021600006	BOS vs. BKN	W	145.0	-275.0
2444	0021600011	PHI vs. OKC	L	-385.0	215.0
2441	0021600005	IND vs. DAL	W	115.0	-65.0
2438	0021600009	MEM vs. MIN	W	85.0	-195.0
2433	0021600014	WAS @ ATL	L	-75.0	145.0
2432	0021600015	BOS @ CHI	L	137.5	85.0
2431	0021600016	SAC vs. SAS	L	-12.5	477.5
2429	0021600017	POR vs. LAC	L	22.5	195.0
2425	0021600019	BKN vs. IND	W	-267.5	107.5
2424	0021600023	DAL vs. HOU	L	-207.5	82.5
2423	0021600024	LAL @ UTA	L	-172.5	-77.5
2422	0021600021	OKC vs. PHX	W	357.5	-397.5
2421	0021600018	CLE @ TOR	W	377.5	67.5
2419	0021600020	DET vs. ORL	W	112.5	-277.5
2415	0021600022	CHA @ MIA	W	287.5	137.5
2412	0021600025	GSW @ NOP	W	402.5	-327.5
2409	0021600033	POR @ DEN	W	24.17	-12.5
2408	0021600032	SAS vs. NOP	W	614.1700000000001	-464.16999999999996
2406	0021600027	BOS @ CHA	W	64.17	199.17
2405	0021600026	PHI vs. ATL	L	-527.5	287.5
2404	0021600031	BKN @ MIL	L	-194.17000000000002	-147.5
2403	0021600029	CLE vs. ORL	W	514.1700000000001	-414.16999999999996
2401	0021600034	MIN @ SAC	L	-337.5	64.17
2397	0021600028	NYK vs. MEM	W	-157.5	77.5
2395	0021600030	CHI vs. IND	W	227.5	-40.83
2391	0021600036	GSW @ PHX	W	400.83	-534.1700000000001
2390	0021600037	SAS @ MIA	W	747.9200000000001	-10.829999999999998
2389	0021600041	DAL @ HOU	L	-344.17	80.83
2387	0021600035	UTA @ LAC	L	-154.17000000000002	337.5
2386	0021600040	OKC vs. LAL	W	494.17	-320.83
2383	0021600039	MEM vs. WAS	W	4.170000000000002	-217.5
2382	0021600038	MIL @ DET	L	-74.17	110.83
2377	0021600043	BKN vs. CHI	L	-336.67	364.16999999999996
2375	0021600045	LAC vs. PHX	W	474.16999999999996	-667.9200000000001
2374	0021600042	TOR vs. DEN	W	219.17000000000002	-160.82999999999998
2371	0021600044	SAC @ ATL	L	-243.32999999999998	424.16999999999996
